car,cylinder,city,hwy,model
aston martin,8,23.1719,35.2592,Vantage V8
General Motors,8,14.7,27.1,CORVETTE
General Motors,8,18.3533,35.0548,CORVETTE
General Motors,8,16.8,29.6,CORVETTE
General Motors,8,15.8,26,CORVETTE
General Motors,8,18.2978,30.7841,CORVETTE
General Motors,8,20.027,35.4602,CORVETTE
Ferrari,8,19.3288,30.4289,488 gtb
Ferrari,8,18.9543,30.5792,488 gtb
Ferrari,8,18.5498,27.2503,488 Pista
Ferrari,8,19.3288,30.4289,488 Spider
Ferrari,8,18.9543,30.5792,488 Spider
Ferrari,8,18.3689,26.7487,488 SS
Ferrari,12,14.3844,21.6452,812 Superfast
FCA US LLC,4,32.8,53,124 Spider
FCA US LLC,4,34.1,51.5,124 Spider
Jaguar Land Rover L,4,29.4134,42.9021,F-TYPE Convertible
Jaguar Land Rover L,6,25,39.2,F-TYPE Convertible
Jaguar Land Rover L,6,19.6,33.6,F-TYPE Convertible Manual
Jaguar Land Rover L,4,29.4134,42.9021,F-TYPE Coupe
Jaguar Land Rover L,6,25,39.2,F-TYPE Coupe
Jaguar Land Rover L,6,19.6,33.6,F-TYPE Coupe Manual
Jaguar Land Rover L,8,18.3,31.5,F-TYPE R AWD Convertible
Jaguar Land Rover L,8,18.3,31.5,F-TYPE R AWD Coupe
Jaguar Land Rover L,6,22.7,36.1,F-TYPE S AWD Convertible
Jaguar Land Rover L,6,22.7,36.1,F-TYPE S AWD Coupe
Jaguar Land Rover L,6,23.9,37.8,F-TYPE S Convertible
Jaguar Land Rover L,6,19.1,33,F-TYPE S Convertible Manual
Jaguar Land Rover L,6,23.9,37.8,F-TYPE S Coupe
Jaguar Land Rover L,6,19.1,33,F-TYPE S Coupe Manual
Nissan,6,24.0236,37.0772,370Z
Nissan,6,21.1,36,370Z
Nissan,6,22.8735,35.0767,370Z Roadster
Porsche,4,28.5,42.1,Boxster
Porsche,4,27.1,40.4,Boxster
Porsche,4,25.1,36,Boxster GTS
Porsche,4,24,35,Boxster GTS
Porsche,4,27,39.7,Boxster S
Porsche,4,24.6,36.9,Boxster S
Porsche,4,28.5,42.1,Cayman
Porsche,4,27.1,40.4,Cayman
Porsche,4,25.1,36,Cayman GTS
Porsche,4,24,35,Cayman GTS
Porsche,4,27,39.7,Cayman S
Porsche,4,24.6,36.9,Cayman S
aston martin,12,18.8306,30.8924,DB11 V12
aston martin,8,22.7207,33.8295,DB11 V8
Ferrari,12,14.0895,22.6228,GTC4Lusso
Ferrari,8,18.027,29.474,GTC4Lusso T
Ferrari,8,19.4902,31.3046,Portofino
BMW,3,34.9132,50.5131,COOPER CONVERTIBLE
